2026-02-05T18:35:05.021754+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/crossed/AYL-00003.bin
2026-02-05T18:37:53.283471+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/crossed/AYL-00000.bin
2026-02-05T18:40:41.551951+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/crossed/AYL-00006.bin
2026-02-05T18:43:29.769366+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/crossed/AYL-00005.bin
2026-02-05T18:46:18.024531+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/crossed/AYL-00007.bin
2026-02-05T18:49:06.323871+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/crossed/AYL-00001.bin
2026-02-05T18:51:54.653063+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00004.bin
2026-02-05T18:54:43.031398+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00002.bin
2026-02-05T18:59:52.106990+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00008.bin
2026-02-05T19:02:40.506799+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00009.bin
2026-02-05T19:05:28.866614+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00003.bin
2026-02-05T19:08:17.258524+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00000.bin
2026-02-05T19:11:05.643520+0800 INFO SUCCESS processing file: /home/wangyh/DATAFOLDER/3DSeismic/AYLModel/ALLvelocity/tests-choas/echelon/AYL-00006.bin
